,open,high,close,low
2015-11-12,24.62,24.64,24.03,23.68
2015-11-11,24.2,25.1,24.65,23.8
2015-11-10,23.5,24.79,24.79,23.5
2015-11-09,22.04,23.11,22.54,22.04
2015-11-06,22.18,22.65,22.33,22.0
2015-11-05,22.3,23.15,22.2,21.88
2015-11-04,20.95,21.99,21.85,20.93
2015-11-03,20.89,21.33,20.89,20.0
2015-11-02,20.35,21.3,20.44,19.86
2015-10-30,20.85,21.0,20.61,20.5
2015-10-29,21.02,21.36,20.94,20.65
2015-10-28,21.9,22.12,20.62,20.2
2015-10-27,21.49,22.18,21.79,20.39
2015-10-26,23.32,23.46,21.85,21.06
2015-10-23,21.21,22.43,22.43,20.71
2015-10-22,18.65,20.39,20.39,18.65
2015-10-21,19.96,20.5,18.54,18.23
2015-10-20,19.86,20.39,19.95,19.66
2015-10-19,20.55,20.7,19.65,19.56
2015-10-16,20.32,21.0,20.4,19.5
2015-10-15,18.61,20.2,19.96,18.61
2015-10-14,18.15,19.9,18.9,17.81
2015-10-13,16.61,18.5,18.5,16.6
2015-10-12,16.2,17.18,16.81,16.01
2015-10-09,16.11,16.33,16.19,15.99
2015-10-08,16.03,16.5,16.27,15.75
2015-09-30,15.3,15.85,15.67,14.98
2015-09-29,14.96,16.0,15.47,14.81
2015-09-28,14.95,15.28,15.08,14.3
2015-09-25,15.5,15.95,15.29,15.03
2015-09-24,15.22,15.7,15.4,15.1
2015-09-23,14.94,15.45,15.15,14.6
2015-09-22,14.53,15.19,14.97,14.48
2015-09-21,13.9,14.57,14.55,13.73
2015-09-18,14.1,14.4,14.02,13.51
2015-09-17,14.58,15.35,13.95,13.92
2015-09-16,13.43,14.65,14.64,13.4
2015-09-15,13.74,14.25,13.34,13.1
2015-09-14,16.62,16.64,14.46,14.46
2015-09-11,15.0,16.07,16.07,14.61
2015-09-10,14.0,15.28,14.62,13.8
2015-09-09,13.95,14.88,14.63,13.95
2015-09-08,12.89,13.98,13.85,12.67
2015-09-07,12.92,13.38,12.77,12.63
2015-09-02,12.3,14.11,12.36,12.3
2015-09-01,14.78,14.78,13.46,13.46
2015-08-31,16.13,16.2,14.95,14.95
2015-08-28,15.4,16.46,16.46,15.0
2015-08-27,15.5,16.5,14.97,14.0
2015-08-26,17.0,18.35,15.56,15.56
2015-08-25,17.29,17.29,17.29,17.29
2015-08-24,20.0,20.4,19.21,19.21
2015-08-21,20.62,21.9,20.36,19.18
2015-08-20,20.98,22.67,21.29,20.3
2015-08-19,19.0,21.0,20.79,18.14
2015-08-18,22.4,22.4,20.16,20.16
2015-08-17,21.67,22.49,22.4,21.43
2015-08-14,21.61,22.83,21.95,21.61
2015-08-13,20.23,21.54,21.41,20.01
2015-08-12,19.35,20.64,20.0,19.1
2015-08-11,19.6,20.12,19.7,19.0
2015-08-10,18.22,19.65,19.54,18.22
2015-08-07,17.47,17.99,17.98,17.47
2015-08-06,16.94,17.98,17.35,16.81
2015-08-05,17.4,18.36,17.51,17.1
2015-08-04,16.2,17.35,17.35,15.8
2015-08-03,17.39,17.39,15.77,15.77
2015-07-31,17.71,18.4,17.51,17.02
2015-07-30,19.44,19.74,18.6,18.41
2015-07-29,19.12,19.5,19.45,17.2
2015-07-28,18.76,20.2,18.65,18.62
2015-07-27,22.3,23.65,20.69,20.69
2015-07-24,24.0,24.55,22.99,22.38
2015-07-23,23.2,24.26,24.14,23.0
2015-07-22,21.24,22.5,22.5,21.24
2015-07-21,20.85,21.49,21.23,20.16
2015-07-20,21.1,21.49,21.16,20.1
2015-07-17,20.5,21.97,21.12,20.2
2015-07-16,19.98,22.3,20.08,19.89
2015-07-15,22.78,23.04,22.1,22.1
2015-07-14,26.4,26.99,24.56,24.56
2015-07-13,25.63,27.9,27.28,25.63
2015-07-10,22.2,25.61,25.61,22.1
2015-07-01,25.0,25.8,23.27,22.8
2015-06-30,23.82,25.13,25.01,21.44
2015-06-29,26.5,26.98,23.83,22.82
2015-06-26,27.0,27.5,25.29,24.27
2015-06-25,28.0,28.5,26.97,26.0
2015-06-24,27.6,28.5,28.05,27.48
2015-06-23,26.8,28.8,27.19,25.31
2015-06-19,30.98,30.98,28.07,28.07
2015-06-18,30.94,32.89,31.2,30.38
2015-06-17,31.45,32.2,31.33,29.8
2015-06-16,30.48,33.48,32.35,29.61
2015-06-15,34.99,34.99,31.69,31.69
2015-06-12,34.69,35.98,35.21,34.01
2015-06-11,33.17,34.98,34.39,32.51
2015-06-10,34.1,36.35,33.85,32.23
2015-06-09,30.46,33.34,33.34,30.46
2015-06-08,28.4,30.9,30.31,28.4
2015-06-05,27.37,28.35,28.19,27.37
2015-06-04,27.42,27.55,27.0,25.0
2015-06-03,28.25,28.5,27.42,26.62
2015-06-02,27.5,28.59,28.24,27.4
2015-06-01,25.86,27.79,27.18,25.86
2015-05-29,25.5,26.58,25.8,23.7
2015-05-28,27.95,27.95,25.27,25.26
2015-05-27,29.66,29.66,28.07,27.95
2015-05-26,29.92,30.3,29.66,28.7
2015-05-25,29.3,30.3,29.92,28.1
2015-05-22,29.87,30.99,29.54,28.53
2015-05-21,27.5,28.22,28.22,26.5
2015-05-20,24.1,25.65,25.65,24.1
2015-05-19,23.68,23.69,23.32,22.47
2015-05-18,22.28,24.45,23.07,22.08
2015-05-15,22.35,22.51,22.28,21.57
2015-05-14,20.84,22.59,22.14,20.72
2015-05-13,21.21,21.21,20.78,20.7
2015-05-12,20.78,21.47,21.21,20.4
2015-05-11,20.31,20.84,20.58,20.15
2015-05-08,19.1,20.18,20.0,19.1
2015-05-07,19.56,19.6,18.81,18.59
2015-05-06,20.85,21.0,19.47,19.25
2015-05-05,22.41,22.48,20.72,20.33
2015-05-04,22.2,22.55,22.25,21.83
2015-04-30,22.2,22.8,22.49,22.2
2015-04-29,21.73,22.54,22.09,21.02
2015-04-28,22.93,23.1,21.75,21.47
2015-04-27,22.56,23.65,22.92,22.56
2015-04-24,21.82,21.82,21.5,21.0
2015-04-23,22.0,22.4,21.81,21.72
2015-04-22,21.9,22.3,21.82,21.58
